NO;Tanggal;Kurs
152;1/19/2026 12:00:00 AM;16935
153;1/15/2026 12:00:00 AM;16880
154;1/14/2026 12:00:00 AM;16871
155;1/13/2026 12:00:00 AM;16875
156;1/12/2026 12:00:00 AM;16853
157;1/9/2026 12:00:00 AM;16834
158;1/8/2026 12:00:00 AM;16801
159;1/7/2026 12:00:00 AM;16785
160;1/6/2026 12:00:00 AM;16762
161;1/5/2026 12:00:00 AM;16748
162;1/2/2026 12:00:00 AM;16725
163;12/31/2025 12:00:00 AM;16720
164;12/30/2025 12:00:00 AM;16782
165;12/29/2025 12:00:00 AM;16788
166;12/24/2025 12:00:00 AM;16767
167;12/23/2025 12:00:00 AM;16790
168;12/22/2025 12:00:00 AM;16773
169;12/19/2025 12:00:00 AM;16735
170;12/18/2025 12:00:00 AM;16722
171;12/17/2025 12:00:00 AM;16698
172;12/16/2025 12:00:00 AM;16693
173;12/15/2025 12:00:00 AM;16669
174;12/12/2025 12:00:00 AM;16652
175;12/11/2025 12:00:00 AM;16668
176;12/10/2025 12:00:00 AM;16688
177;12/9/2025 12:00:00 AM;16677
178;12/8/2025 12:00:00 AM;16688
179;12/5/2025 12:00:00 AM;16655
180;12/4/2025 12:00:00 AM;16646
181;12/3/2025 12:00:00 AM;16632
182;12/2/2025 12:00:00 AM;16632
183;12/1/2025 12:00:00 AM;16668
184;11/28/2025 12:00:00 AM;16661
185;11/27/2025 12:00:00 AM;16644
186;11/26/2025 12:00:00 AM;16673
187;11/25/2025 12:00:00 AM;16667
188;11/24/2025 12:00:00 AM;16709
189;11/21/2025 12:00:00 AM;16719
190;11/20/2025 12:00:00 AM;16742
191;11/19/2025 12:00:00 AM;16732
192;11/18/2025 12:00:00 AM;16760
193;11/17/2025 12:00:00 AM;16734
194;11/14/2025 12:00:00 AM;16710
195;11/13/2025 12:00:00 AM;16732
196;11/12/2025 12:00:00 AM;16722
197;11/11/2025 12:00:00 AM;16698
198;11/10/2025 12:00:00 AM;16666
199;11/7/2025 12:00:00 AM;16704
200;11/6/2025 12:00:00 AM;16707
201;11/5/2025 12:00:00 AM;16729
202;11/4/2025 12:00:00 AM;16724
203;11/3/2025 12:00:00 AM;16664
204;10/31/2025 12:00:00 AM;16625
205;10/30/2025 12:00:00 AM;16640
206;10/29/2025 12:00:00 AM;16631
207;10/28/2025 12:00:00 AM;16622
208;10/27/2025 12:00:00 AM;16628
209;10/24/2025 12:00:00 AM;16630
210;10/23/2025 12:00:00 AM;16645
211;10/22/2025 12:00:00 AM;16617
212;10/21/2025 12:00:00 AM;16589
213;10/20/2025 12:00:00 AM;16585
214;10/17/2025 12:00:00 AM;16590
215;10/16/2025 12:00:00 AM;16580
216;10/15/2025 12:00:00 AM;16577
217;10/14/2025 12:00:00 AM;16577
218;10/13/2025 12:00:00 AM;16580
219;10/10/2025 12:00:00 AM;16585
220;10/9/2025 12:00:00 AM;16534
221;10/8/2025 12:00:00 AM;16606
222;10/7/2025 12:00:00 AM;16560
223;10/6/2025 12:00:00 AM;16598
224;10/3/2025 12:00:00 AM;16611
225;10/2/2025 12:00:00 AM;16612
226;10/1/2025 12:00:00 AM;16680
227;9/30/2025 12:00:00 AM;16692
228;9/29/2025 12:00:00 AM;16680
229;9/26/2025 12:00:00 AM;16775
230;9/25/2025 12:00:00 AM;16752
231;9/24/2025 12:00:00 AM;16680
232;9/23/2025 12:00:00 AM;16636
233;9/22/2025 12:00:00 AM;16607
234;9/19/2025 12:00:00 AM;16578
235;9/18/2025 12:00:00 AM;16498
236;9/17/2025 12:00:00 AM;16430
237;9/16/2025 12:00:00 AM;16385
238;9/15/2025 12:00:00 AM;16405
239;9/12/2025 12:00:00 AM;16391
240;9/11/2025 12:00:00 AM;16468
241;9/10/2025 12:00:00 AM;16457
242;9/9/2025 12:00:00 AM;16462
243;9/8/2025 12:00:00 AM;16348
244;9/4/2025 12:00:00 AM;16438
245;9/3/2025 12:00:00 AM;16424
